Clave de Cartera,Número de solicitud,Nombre de PPI,Descripción de PPI,Clave Tipo de PPI,Tipo de PPI,Entidad Federativa,Descripción de Entidad,Total,Anteriores,ANIO_1,ANIO_2,ANIO_3,ANIO_4,ANIO_5,Posteriores,Monto Asignado,Ramo,Descripción de Ramo,Unidad,Descripción de Unidad,Fecha de Inicio,Fecha Fin,Fase descripción,Monto Calendario Fiscal 2022,Monto Calendario Propios 2022
'029 02 029,89,Pacífico,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),12,GUERRERO,13450536533,0,0,0,0,0,0,0,17704538,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,21/03/2010,15/06/2022,Registrado,17704538,
'030 02 030,90,El Cajón,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),18,NAYARIT,20215849127,0,0,0,0,0,0,0,501448348,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,28/02/2007,15/12/2036,Registrado,501448348,
'034 02 034,95,Red de Transmisión Asociada a el Pacífico,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,2589436738,0,0,0,0,0,0,0,20565006,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,14/07/2009,17/04/2026,Registrado,20565006,
'046 02 046,131,706 Sistemas Norte,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,3974771438,0,0,0,0,0,0,0,11458762,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,29/07/2005,29/09/2036,Registrado,11458762,
'072 02 072,157,806 Bajío,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,2167754465,0,0,0,0,0,0,0,2712991,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,30/03/2006,26/06/2026,Registrado,2712991,
'002 03 002,159,La Venta II,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),20,OAXACA,2268910877,0,0,0,0,0,0,0,39360000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,05/01/2007,19/01/2022,Registrado,39360000,
'010 03 010,167,914 División Centro Sur,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,268080326,0,0,0,0,0,0,0,14560412,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,02/04/2010,18/09/2026,Registrado,14560412,
'0418TOQ0140,210,La Yesca,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,31839620597,0,0,0,0,0,0,0,670000004,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,15/10/2012,18/08/2042,Registrado,670000004,
'0318TOQ0203,214,Red de Fibra Optica Proyecto Norte,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,971850432,0,0,0,0,0,0,0,235750,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,10/07/2007,20/11/2026,Registrado,235750,
'0418TOQ0087,215,1006 Central----Sur,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,322434560,0,0,0,0,0,0,0,8200000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,12/01/2011,15/06/2022,Registrado,8200000,
