Clave,Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad
2021W3N0001,Tren Maya,TREN MAYA,Transporte,Ferrocarriles,Greenfield,Pesos mexicanos MXN,,,false,,"El Proyecto consiste en la provisión del servicio de transporte férreo que interconectará las principales ciudades y zonas turísticas de los estados de Chiapas, Tabasco, Campeche, Yucatán y Quintana Roo, a través de una línea ferroviaria de aproximadamente mil 440 km. Además, permitirá conectar las cinco entidades federativas mediante un servicio de ferrocarril para carga y pasajeros.",Público,Obra Pública Tradicional,,,,,,,,,,,Ejecución,,,,"Chiapas,Tabasco,Campeche,Yucatán,Quintana Roo",,,"Por su importancia y derivado de que el proyecto se desarrolla bajo un esquema de obra pública, la información y procesos de licitación se difunden por el promotor convocante desde sitios oficiales y en la Plataforma Proyectos México, a través de esta ficha informativa.",https://www.proyectosmexico.gob.mx/proyecto_inversion/tren-maya-2/,Ferrocarril de carga y pasajeros,1440,km,,,,,,,,,,,,,,
,Corredor Interoceánico del Istmo de Tehuantepec,Corredor Interoceánico del Istmo de Tehuantepec,Transporte,Puertos,Greenfield,Pesos mexicanos MXN,,,false,,"El Programa, como uno de los instrumentos orientados a generar las condiciones que detonen el crecimiento económico y social en el Istmo de Tehuantepec y el Sur-Sureste del país, busca restablecer el bienestar de la población de la región, conformada por 79 municipios: 46 pertenecientes al Estado de Oaxaca y 33 al Estado de Veracruz. Su eje será el Corredor Multimodal Interoceánico, que aprovechará la posición del Istmo para competir en los mercados mundiales de movilización de mercancías, a través del uso combinado de diversos medios de transporte. En este marco se modernizará el ferrocarril del Istmo de Tehuantepec, los puertos de Coatzacoalcos, Veracruz, y Salina Cruz, Oaxaca, para que puedan ofrecer servicios de carga, transporte, almacenaje, embalaje y servicios 54 logísticos diversos; se fortalecerá la infraestructura carretera y de caminos rurales y la red aeroportuaria y se construirá un gasoducto para abastecer a empresas y consumidores domésticos. A lo largo del recorrido entre ambos océanos se crearán zonas libres para atraer inversiones del sector privado, las cuales se dotarán de infraestructura y se garantizará el abasto de energía, agua, conectividad digital y otros insumos básicos para cubrir las necesidades de las empresas y de la población trabajadora.",Público,Obra Pública Tradicional,,,,,,,,,,,Ejecución,,,,"Oaxaca,Veracruz",Corredor Interoceánico del Istmo de Tehuantepec,,,https://www.proyectosmexico.gob.mx/proyecto_inversion/corredor-interoceanico-del-istmo-de-tehuantepec/,Instalación Portuaria,1,,,,,,,,,,,,,,,
,0921 IETRAM: Sistema de Transporte Integrado en Mérida,"SISTEMA DE TRANSPORTE INTEGRADO (STI) EN LA ZONA METROPOLITANA DE MÉRIDA, YUCATÁN.",Transporte,Movilidad Urbana,Greenfield,Pesos mexicanos MXN,425,21,"Equipamiento,Operación",,"Servicio de transporte público de personas pasajeras en vehículos eléctricos, tipo autobús, en el Sistema Metropolitano de Movilidad Amable y Sostenible, con cobertura urbana y foránea en los municipios de Mérida, Umán y Kanasín del Estado de Yucatán. Incluyendo el pago por Kilómetro recorrido, cobro electrónico con tarjeta inteligente, sistema de concentración de recursos, entre otros elementos inherentes a dicho sistema. Requerirá una flota vehicular mínima de 32 autobuses eléctricos, con atributos estéticos de tranvía, incluyendo la reserva técnica para cubrir el servicio que se concesionará. Ruta con más de 129 km distribuidos en 3 rutas principales y 2 conexiones a las estaciones del Tren Maya, conformada por los siguientes componentes: 1. Construcción y/o habilitación de componentes de infraestructura vial (carriles nuevos, carriles exclusivos y/o preferentes, cruces seguros, ampliación de banquetas, parabuses, señalética). 2. Sistema de recarga. 3. Sistema de cobro.",Público / Privado,Concesión Estatal,15 Años,Licitación Pública Nacional,30/09/2015,10/10/2022,17/10/2022,06/12/2022,03/03/2023,,01/12/2023,2037,Ejecución,,Movilidad Urbana Mérida,,Yucatán,Gobierno Estatal,Instituto de Movilidad y Desarrollo Urbano Territorial,"Primera etapa de la inversión privada: MXN $260,000,000.00 Segunda etapa de la inversión privada: MXN $165,000,000.00",https://www.proyectosmexico.gob.mx/proyecto_inversion/0921-ietram-sistema-de-transporte-integrado-en-merida/,Sistema de transporte,,,,Sistema de Control y Recaudo,,,,,,,,,,,,
,0920 Libramientos Norponiente y Surponiente de Hermosillo,"CONSTRUCCIÓN, OPERACIÓN Y MANTENIMIENTO DE LOS LIBRAMIENTOS NORPONIENTE Y SURPONIENTE DE HERMOSILLO, EN EL ESTADO DE SONORA.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,,,"Construcción,Operación,Mantenimiento",,"El proyecto consiste en el uso, aprovechamiento y explotación de bienes de dominio público municipal con el objeto de construir, operar y mantener los libramientos norponiente y surponiente de Hermosillo.",Público / Privado,Concesión,,Proceso Competitivo,,20/02/2023,10/04/2023,,,,,,Licitación,Desierto,,,Sonora,Municipio de Hermosillo,Ayuntamiento de Hermosillo,El proceso competitivo SM/BPU/CS/001/2023 fue declarado desierto en la sesión de la Mesa de Apoyo Técnico celebrada el pasado 23 de junio del 2023.,https://www.proyectosmexico.gob.mx/proyecto_inversion/0920-libramientos-de-hermosillo/,Carretera,,,,,,,,,,,,,,,,
,0919 Recinto portuario turístico y comercial “Tampico 1900”,"DISEÑO, RESTAURACIÓN, CONSTRUCCIÓN, DESARROLLO, USO, APROVECHAMIENTO Y EXPLOTACIÓN DE UNA INSTALACIÓN HISTÓRICA, TURÍSTICA, COMERCIAL Y DE SERVICIOS, UBICADA EN EL RECINTO PORTUARIO DE TAMPICO, en tamaulipas.",Inmobiliario y Turismo,Turismo,Brownfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Equipamiento,Instalación,Operación,Administración,Mantenimiento,Conservación,Explotación",,"Desarrollar un conjunto cultural, museográfico, histórico y turístico que relata la importancia del puerto de Tampico y su conexión con la evolución de la ciudad. Se llevará a cabo en el Edificio de la Antigua Aduana, muelles, bodegas históricas, patios y áreas aledañas. Se proyecta el desarrollo de un Clúster histórico, turístico y cultural, dando apertura entre otros giros a: - Espacio museográfico interactivo. - Restaurantes y cafeterías. - Áreas de entretenimiento familiar: cine, ludoteca, juegos interactivos, talleres de expresión artística. - Parque temático en fachada del edificio histórico y frente de agua. - Salones de eventos. - Hotel boutique. - Paseo ciudadano. - Otros posibles desarrollos. El proyecto consiste en el uso, aprovechamiento y explotación de una superficie federal terrestre de 39,448m2, ubicada dentro del recinto portuario del Puerto de Tampico, para diseñar, restaurar, construir, desarrollar, usar, aprovechar y explotar una instalación portuaria.",Público / Privado,Cesión Parcial de Derechos,20 Años,Licitación Pública Internacional,,30/03/2023,08/01/2024,16/02/2024,01/03/2024,,,30/05/2043,Licitación,Elaboración de Propuesta,,,Tamaulipas,Administración del Sistema Portuario Nacional Tampico,Gerencia de Comercialización y Desarrollo Portuario,,https://www.proyectosmexico.gob.mx/proyecto_inversion/0919-tampico-1900/,Edificación,,,,,,,,,,,,,,,,
,0918 Libramiento Progreso,"DISEÑO, CONSTRUCCIÓN, OPERACIÓN, EXPLOTACIÓN, CONSERVACIÓN Y MANTENIMIENTO DEL LIBRAMIENTO DE PROGRESO, EN EL MUNICIPIO DE PROGRESO, YUCATÁN.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,1500,73,"Diseño,Construcción,Operación,Conservación,Explotación",,"El proyecto consiste en el diseño, construcción, operación, explotación, conservación y mantenimiento del libramiento Progreso, como viaducto elevado de altas especificaciones tipo A2, con una longitud de 2.2 km aproximadamente, que comunicará directamente a la Carretera Mérida-Progreso (Mex-261) con el Viaducto de la Terminal Remota de Puerto Progreso, en el Municipio de Progreso, Yucatán. (*)Proyecto con participación financiera o apoyo de Banobras y/o Fonadin.",Público / Privado,Concesión Estatal,30 Años,Licitación Pública Nacional,,09/12/2022,06/01/2023,17/01/2023,15/02/2023,,,,Ejecución,Actividades Previas,Operaciones Autovía Libramiento Progreso,,Yucatán,Gobierno Estatal,Instituto de Infraestructura Carretera de Yucatán,,https://www.proyectosmexico.gob.mx/proyecto_inversion/0918-libramiento-progreso/,Carretera,2.2,km,A2,,,,,,,,,,,,,Si
,0917 Autopista Conexión Norte,"DISEÑO, CONSTRUCCIÓN, OPERACIÓN, MANTENIMIENTO, CONSERVACIÓN Y EXPLOTACIÓN de la AUTOPISTA ""NICOLÁS ROMERO – CUAUTITLÁN IZCALLI”, ""CONEXIÓN NORTE"", EN EL ESTADO DE MÉXICO.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Operación,Mantenimiento,Conservación,Explotación",,"El proyecto consiste en el diseño, construcción, operación, mantenimiento, conservación y explotación de una infraestructura vial, denominada ""Nicolás Romero – Cuautitlán Izcalli"", “Conexión Norte"", con una velocidad de proyecto de 80 Km/h, una pendiente gobernadora del 4% y una pendiente máxima de 6%; el ancho de la calzada es de 7 metros con: 1) 1 carril de 3.50 metros para cada cuerpo vial, además de dos acotamientos exteriores de 3 metros a cada lado y un acotamiento interior de 0.5 metros, o; 2) 2 carriles de 3.50 metros para cada cuerpo vial con bahías de seguridad; se realizaran dos cuerpos separados por la línea de transmisión de CFE, el ancho total de corona será de 14.00 m. La curvatura máxima es de 5.5°. El proyecto se desarrolla dentro de un ancho de derecho de vía de 40 m. con 20 m. a cada lado a partir del eje de la carretera. Características: - Longitud 18.440 kilómetros. - Sección 12 m de ancho de corona para alojar dos carriles de circulación (uno por sentido) de 3.5 m de ancho y acotamientos de 3.0m - Entronques Tipo trompeta 2 (Tepeojuma y San Félix Rijo). - IRI del proyecto 2.5 m/km. - Viaductos 9. - Entronques 4. - Estructuras PIV’s 7.",Público / Privado,Concesión Estatal,30 Años,Licitación Pública Internacional,,30/01/2023,09/03/2023,22/03/2023,31/03/2023,,,2053,Licitación,Formalización,"Mota-Engil México, Desarrollo, Tecnología y Planeación y Metrópolis, Operación y Mantenimiento",Mota-Engil,Estado de México,Gobierno Estatal,"Sistema de Autopistas, Aeropuertos, Servicios Conexos y Auxiliares del Estado de México","Este proyecto tiene origen en la presentación de una Propuesta No Solicitada promovida por Desarrollo, Tecnología y Planeación S.A. de C.V. mediante escrito de fecha 12 de diciembre de 2022.",https://www.proyectosmexico.gob.mx/proyecto_inversion/0917-autopista-conexion-norte/,Carretera,18.44,km,A2,,,,,,,,,,,,,Si
,0916 Contrato de Servicios Integrales de Exploración y Extracción Lakach,"Contrato de Servicios Integrales de Exploración y Extracción, Área Contractual Lakach, en Aguas Profundas del Golfo de México.",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,17301,840,"Diseño,Construcción,Equipamiento,Instalación,Operación,Administración,Mantenimiento,Extracción",,"El objetivo del proyecto es maximizar el valor económico de las reservas de hidrocarburos para el Campo Lakach, situado en el área contractual Lakach, y contempla recuperar un volumen de gas de 847.90 MMMpc, lo que representa un factor de recuperación de 64.67% de la reserva 2P del campo, así como recuperar un volumen de condensado por el transporte y proceso del gas producido equivalente a 3.58 MMb. Cabe señalar que el Campo Lakach no presenta reserva posible. Para la explotación del campo se consideran las siguientes actividades: • Recuperación y terminación de los 6 pozos de desarrollo ya perforados y que actualmente se encuentran en taponamiento temporal, así como la recuperación y reparación mayor del pozo delimitador Lakach 2DL que también se encuentra taponado. • Construcción, Instalación e interconexión de equipos submarinos, mediante 7 árboles submarinos horizontales, ligados a dos centros colectores de producción o manifolds y sus centros de distribución de control. • Tendido de ductos marinos: 1 Gasoducto de 18” diámetro por 56.6 km desde el sistema submarino hacia la Plataforma Marina de Procesamiento de Gas, 1 Gasoducto de 18” diámetro por 16.77 km desde la Plataforma Marina de Procesamiento de Gas hasta el punto de venta en tierra, incluyendo su medición fiscal, 1 ducto de 4” de diámetro por 14.37 km de longitud para el transporte de condensados desde la Plataforma Marina de Procesamiento de Gas hasta el punto de venta en tierra y 1 Umbilical, en dos secciones, el principal y el de campo con una longitud total de 56.60 km. El tendido de los ductos hacia la parte terrestre incluye su arribo playero. • Construcción o habilitado e instalación de una Plataforma Marina de Procesamiento de Gas para recolección y acondicionamiento de gas, incluye la compresión. • Actividades para el abandono de pozos e instalaciones.",Público / Privado,Servicios Integrales,12 Años,Adjudicación Directa,,19/05/2022,28/09/2022,oct-22,21/11/2022,22/11/2022,jul-23,nov-34,Ejecución,,NFE Upstream CO.,New Fortress Energy,Aguas Profundas del Golfo de México,Petróleos Mexicanos,PEMEX Exploración y Producción,,,,,,,,,,,,,,,,,,,
" Gerencia de Operación de Contratos y Asociaciones de Producción Norte""",El monto de inversión corresponde únicamente a la inversión de capital del proyecto. No considera los costos de operación ni de abandono que serán erogados por el Prestador de Servicios. Paridad peso/dólar 20.3,https://www.proyectosmexico.gob.mx/proyecto_inversion/0916-csiee-lakach/,Pozos Terrestres,,,,Yacimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0915 Contrato de Servicios Integrales de Exploración y Extracción Cuitláhuac,"Contrato de Servicios Integrales de Exploración y Extracción, Área Contractual Cuitláhuac, en el estado de Tamaulipas.",Hidrocarburos,Exploración/Producción,Brownfield,Pesos mexicanos MXN,3866,188,"Construcción,Operación,Administración,Mantenimiento,Extracción",,"El proyecto consiste en continuar con la explotación de hidrocarburos del área contractual Cuitláhuac, en los yacimientos productores (Ov 29,30-60 y 65) y el desarrollo del yacimiento profundo (Ov 80-90). El área contractual Cuitláhuac presenta una extensión de 195.04 km2, actualmente es administrada por Pemex Exploración y Producción (PEP) en el Activo de Producción Reynosa y se ubica en la porción noroccidental de la Cuenca de Burgos, a 44.5 km de distancia al suroeste de la ciudad de Reynosa, Tamaulipas. Incluye pozos de los campos (con reserva) Cuitláhuac y Torrecillas, así como los campos René, Orégano y Gomeño, los cuales no tienen reserva y por lo tanto no contemplan actividad, las formaciones productoras son Jackson y Vicksburg de las edades Eoceno Superior y Oligoceno Inferior respectivamente, las cuales producen gas de las mismas características. El Plan de Desarrollo optimizado (Reserva 3P) considera las premisas actuales donde un Contrato de Servicios Integrales de Exploración y Extracción (CSIEE), se puede contratar por máximo 15 años. El límite para este Caso de Negocio se determina a diciembre de 2035, que estima recuperar una producción acumulada de gas húmedo de 218.22 MMMpc equivalente a una producción de gas de venta de 173.82 MMMpc con un condensado de línea de 3.87 MMb a través de 33 perforaciones y terminaciones, 169 RMA, 984 RME, la construcción de 33 líneas de descarga, 3 cabezales de recolección que integrarán el módulo Cuitláhuac 13 propuesto para recolectar la producción de 11 localizaciones. Se plantean también 2 gasoductos de 6” x 2.2 km con origen en Cuitláhuac 13 y destino en Cuitláhuac 7, para alta y baja presión, así como la adquisición de un equipo de medición ultrasónico de transferencia para medir la producción de la Asignación A-0112-M - Campo Cuitláhuac que se entrega a la ERG Torrecillas 1, 9 placas de orificio para la medición de pozos que se conectan directamente a la ERG Torrecillas 1, 14 bombas de trasiego para manejo de líquidos, la ampliación de 28 peras existentes y construcción de 5 peras nuevas, y el abandono de 242 pozos.",Público / Privado,Servicios Integrales,15 Años,Licitación Pública Internacional,,,,27/06/2023,14/07/2023,01/08/2023,,,Ejecución,,Consorcio C5M/QMAX,,Tamaulipas,Petróleos Mexicanos,PEMEX Exploración y Producción,,,,,,,,,,,,,,,,,,,
